brand,model,years,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,horsepower,torque_nm,drive_type,seating_capacity,body_type,weight_kg,safety_rating,country,segment,annual_sales
Volkswagen,ID. Buzz,2023,Performance,104881,119,400,235,1000,895,AWD,7,Truck,2015,4,Germany,Luxury,202182
Toyota,bZ Compact SUV,2022,Premium,48217,59,219,148,381,360,FWD,5,SUV,1709,4,Japan,Mid-range,7146
GM/Chevrolet,Bolt EV,2024,Premium,49651,58,225,105,588,516,AWD,5,Van,1533,4,US,Mid-range,16590
Kia,Sportage EV,2024,Long Range,38132,103,349,67,310,327,AWD,7,SUV,1935,4,South Korea,Mid-range,127201
Tesla,Model 3,2022,Long Range,144080,94,314,299,1000,883,RWD,5,SUV,2229,4,US,Luxury,196401
Tesla,Model Y,2023,Performance,119590,78,251,335,947,858,AWD,5,Hatchback,1751,5,US,Luxury,411764
Tesla,Model 3,2024,Premium,128428,69,222,202,992,899,RWD,5,Coupe,1500,5,US,Luxury,213937
Mercedes,EQS,2025,Performance,131074,83,292,203,764,737,RWD,7,SUV,2219,4,Germany,Luxury,48277
Kia,Niro EV,2021,Premium,80531,55,184,68,976,864,AWD,7,Hatchback,1511,3,South Korea,Premium,90830
GM/Chevrolet,Blazer EV,2025,Base,56945,70,251,117,703,604,FWD,7,Van,1520,5,US,Mid-range,8761
Tesla,Model S,2026,Long Range,134166,103,347,324,993,949,AWD,5,Sedan,1720,4,US,Luxury,211478
Fisker,Ronin,2025,Standard,88914,67,232,130,727,689,AWD,7,Truck,2536,3,US,Premium,2408
Mercedes,EQG,2025,Performance,210812,93,320,167,1000,919,RWD,7,Hatchback,1562,5,Germany,Luxury,56039
BYD,Seagull,2023,Base,16394,42,158,74,150,200,FWD,5,Coupe,1744,5,China,Budget,224997
Tesla,Model 3,2024,Premium,95913,50,167,242,716,627,FWD,7,Sedan,1556,4,US,Premium,124780
